vuln_id,ecosystem,package,num_extracted_functions,extracted_functions,source_repo,ghsa_url,ground_truth_functions,notes
GHSA-9hjg-9r4m-mvj7,pypi,requests,1,get_netrc_auth,psf/requests,https://github.com/advisories/GHSA-9hjg-9r4m-mvj7,get_netrc_auth,"get_netrc_auth (src/requests/utils.py) now uses urlparse(url).hostname instead of manually splitting the netloc, preventing .netrc credential leakage from maliciously crafted URLs."
GHSA-cpwx-vrp4-4pq7,pypi,jinja2,1,do_reverse,pallets/jinja,https://github.com/advisories/GHSA-cpwx-vrp4-4pq7,do_attr,"do_attr (src/jinja2/filters.py) now routes attribute access through environment.getattr (using getattr_static to avoid the item-lookup fallback) so the sandbox's is_safe_attribute checks apply, blocking the |attr('format') sandbox breakout. (Extracted 'do_reverse' is just the preceding diff-hunk label; the modified function is do_attr.)"
GHSA-q34m-jh98-afg2,pypi,werkzeug,1,safe_join,pallets/werkzeug,https://github.com/advisories/GHSA-q34m-jh98-afg2,"parse; receive_data","NOTE: CSV ID GHSA-q34m-jh98-afg2 is invalid ('a' is not a valid GHSA char); this is a typo for GHSA-q34m-jh98-gwm2 (CVE-2024-49767). Fix commit 50cfeebc: MultiPartParser.parse (formparser.py) now tracks accumulated field size across data events and raises RequestEntityTooLarge, correctly enforcing max_form_memory_size for large non-file fields; receive_data (sansio/multipart.py) only gains a clarifying comment."
GHSA-9wx4-h78v-vm56,pypi,requests,1,extract_zipped_paths,psf/requests,https://github.com/advisories/GHSA-9wx4-h78v-vm56,"_urllib3_request_context; _get_connection; send","Adds _urllib3_request_context and HTTPAdapter._get_connection (src/requests/adapters.py) and calls it from send(), so connections are keyed by TLS settings; verify=False on the first request no longer persists to later verify=True requests reusing a pooled connection."
GHSA-jfhm-5ghh-2f97,pypi,cryptography,1,update_into,pyca/cryptography,https://github.com/advisories/GHSA-jfhm-5ghh-2f97,_load_pkcs7_certificates,"_load_pkcs7_certificates (src/cryptography/hazmat/backends/openssl/backend.py) returns an empty list when p7.d.sign is NULL, preventing the NULL-pointer dereference/segfault when loading a PKCS7 bundle with no signed certificates."
GHSA-f9vj-2wh5-fj8j,pypi,werkzeug,1,safe_join,pallets/werkzeug,https://github.com/advisories/GHSA-f9vj-2wh5-fj8j,safe_join,"safe_join (src/werkzeug/security.py) additionally rejects filenames starting with '/', catching UNC-style paths (e.g. //server/share) that ntpath.isabs misses on Python < 3.11, fixing the Windows path-traversal issue."
GHSA-38jv-5279-wg99,pypi,urllib3,2,"redirect; urlopen",urllib3/urllib3,https://github.com/advisories/GHSA-38jv-5279-wg99,drain_conn,"drain_conn (src/urllib3/response.py) now drains redirect response bodies with decode_content=self._has_decoded_content, so a gzipped redirect body is not decompressed unless decoding was already initiated, restoring decompression-bomb safeguards for the streaming API on redirects."
GHSA-gwvm-45gx-3cf8,pypi,urllib3,2,"urlopen; connect",urllib3/urllib3,https://github.com/advisories/GHSA-gwvm-45gx-3cf8,"urlopen; __init__","PoolManager.urlopen (poolmanager.py) now compares header names case-insensitively (header.lower()) when stripping headers on cross-host redirects, and Retry.__init__ (util/retry.py) lowercases remove_headers_on_redirect, completing the incomplete case-sensitive fix for CVE-2018-20060 so Authorization is dropped regardless of case."
GHSA-44wm-f244-xhp3,pypi,Pillow,2,"_setup; test_auxiliary_channels_isolated",python-pillow/Pillow,https://github.com/advisories/GHSA-44wm-f244-xhp3,"cms_transform_new; findLCMStype","cms_transform_new (src/_imagingcms.c) replaces strcpy with strncpy bounded to 8 for mode_in/mode_out, fixing the buffer overflow; findLCMStype only has a comment cleanup."
GHSA-www2-v7xj-xrc6,pypi,urllib3,3,"urlopen; __init__; getlist",urllib3/urllib3,https://github.com/advisories/GHSA-www2-v7xj-xrc6,"urlopen; __init__; new","Introduces remove_headers_on_redirect (default Authorization) on Retry (Retry.__init__ and Retry.new in util/retry.py) and strips those headers in PoolManager.urlopen (poolmanager.py) on cross-host redirects, fixing Authorization leakage on cross-origin redirects."
GHSA-mh33-7rrq-662w,pypi,urllib3,4,"idna_encode; __init__; connect; _validate_conn",urllib3/urllib3,https://github.com/advisories/GHSA-mh33-7rrq-662w,"ssl_wrap_socket; idna_encode; urlopen; __init__","Core fix (CVE-2019-11324): ssl_wrap_socket (util/ssl_.py) no longer loads OS default CA certs when a custom ca_certs/ssl_context is supplied, so verification fails correctly. The referenced 1.24.2 commit also bundles unrelated changes: IPv6-SAN handling in contrib/pyopenssl.py (idna_encode hunk) and case-insensitive redirect header stripping (poolmanager.urlopen, retry.__init__)."
GHSA-mr82-8j83-vxmv,pypi,pydantic,4,"validate; validate_email; __init__; _validate",pydantic/pydantic,https://github.com/advisories/GHSA-mr82-8j83-vxmv,"validate_email; _build_pretty_email_regex","validate_email (pydantic/networks.py) rejects inputs longer than MAX_EMAIL_LENGTH (2048), and _build_pretty_email_regex bounds the email group to {0,254}, together preventing the ReDoS from crafted email strings."
GHSA-gmj6-6f8f-6699,pypi,jinja2,6,"call; getattr; getitem; is_safe_attribute; is_safe_callable; unsafe",pallets/jinja,https://github.com/advisories/GHSA-gmj6-6f8f-6699,visit_FromImport,"visit_FromImport (src/jinja2/compiler.py) escapes curly braces in the template name (position) before formatting it into the import error message that is compiled into an f-string, preventing execution of f-string syntax embedded in an attacker-controlled filename (sandbox breakout)."
GHSA-xg9f-g7g7-2323,pypi,werkzeug,13,"handle_websocket_exception; parse_multipart_headers; parse_options_header; _parse_content_type; get_content_type; get_input_stream; get_content_length; is_resource_modified; make_chunk_iter; parse_multipart; _line_parse; _write; _find_terminator",pallets/werkzeug,https://github.com/advisories/GHSA-xg9f-g7g7-2323,"__init__; _parse_multipart; parse; next_event; make_form_data_parser","Threads a new max_form_parts limit (default 1000) through FormDataParser (__init__, _parse_multipart), MultiPartParser (__init__, parse) and MultipartDecoder (__init__) in formparser.py/sansio/multipart.py; MultipartDecoder.next_event raises RequestEntityTooLarge once the part count exceeds the limit, and Request.make_form_data_parser passes it through, mitigating the many-parts multipart DoS."
GHSA-2xpw-w6gg-jr37,pypi,urllib3,18,"_init_decoder; _decode; _flush_decoder; read; read1; readinto; readinto1; stream; read_chunked; from_httplib; enforce_content_length; close; drain_conn; __init__; _fp_read; _raw_read; _init_length; json",urllib3/urllib3,https://github.com/advisories/GHSA-2xpw-w6gg-jr37,"decompress; __init__; has_unconsumed_tail; get; _decode; read; read1; stream; read_chunked","Adds a max_length/output_buffer_limit parameter to the content decoders (DeflateDecoder/GzipDecoder/BrotliDecoder/ZstdDecoder/MultiDecoder decompress + new has_unconsumed_tail) and threads it through HTTPResponse._decode/read/read1/stream/read_chunked (src/urllib3/response.py), so streaming reads decompress only up to the requested amount, preventing decompression-bomb resource exhaustion."
